seed,l1_staff,l2_staff,arrivals,served,avg_wait_min,p95_wait_min,util_l1,fcr,reopen,voc_mean,sla_2min
12353,8,6,2619,2323,534.2758319830816,2795.7096402894604,0.453736579744373,0.6711149375807146,0.0297029702970297,3.278772989479083,0.039603960396039604
12354,8,6,2585,2360,485.4418571767441,2536.623285852291,0.470112913913303,0.676271186440678,0.023728813559322035,3.2820442121525866,0.04067796610169491
12355,8,6,2626,2377,528.308011644176,2757.205758158819,0.46554563327307025,0.6899453092132941,0.023559108119478336,3.305432814694679,0.03954564577198149
12356,8,6,2556,2354,492.4746504759352,2800.809437253054,0.4606421154370677,0.6771452846219201,0.02888700084961767,3.296676719622992,0.03653355989804588
12357,8,6,2584,2346,464.4378875118362,2576.8014954481837,0.46692662896076464,0.664535379369139,0.028985507246376812,3.2750389556817248,0.046462063086104004
12358,8,6,2728,2433,429.7886639492197,2440.3256168084645,0.48037950334750357,0.6715988491574189,0.026304973284011508,3.2701825984676103,0.04233456637895602
12359,8,6,2667,2407,497.3769426863224,2632.9185112962778,0.4875366973163904,0.6771915247195679,0.03115911923556294,3.258301245322417,0.0402991275446614
12360,8,6,2525,2338,588.3235828549027,3086.214412096788,0.4407741069877773,0.6937553464499572,0.023952095808383235,3.3308605837742435,0.038922155688622756
12361,8,6,2623,2382,496.9095449383541,2707.217717339621,0.46737981690446223,0.6712846347607053,0.018891687657430732,3.2837407148345372,0.0436607892527288
12362,8,6,2561,2358,498.8466867282998,2574.0083711520683,0.45909060951892183,0.6878710771840543,0.02714164546225615,3.3214210074580843,0.04071246819338423
12363,8,6,2554,2345,552.105599649214,2814.6362958184054,0.45915954765226286,0.6921108742004264,0.023880597014925373,3.316836658732766,0.044349680170575695
12364,8,6,2674,2470,466.4555174037554,2422.674058690526,0.4745340045155745,0.668825910931174,0.02631578947368421,3.284521998897454,0.039271255060728746
12365,8,6,2674,2454,429.91420710796876,2532.05106625509,0.49232932184438,0.6792991035044825,0.02730236348818256,3.279354264396553,0.039527302363488184
12366,8,6,2622,2385,452.2300636461256,2368.3966379239864,0.4588132738755305,0.6876310272536688,0.026415094339622643,3.316081499794851,0.0389937106918239
12367,8,6,2667,2462,480.1944099187565,2513.093921787579,0.4953260776138202,0.677497969130788,0.029650690495532088,3.2779699074578272,0.03736799350121852
12368,8,6,2586,2354,539.2104981859918,2621.336407208421,0.46276435663451976,0.6644010195412065,0.02463891248937978,3.262237449555828,0.0356839422259983
12369,8,6,2626,2347,520.7359257499089,2533.5012451020366,0.4709967158919212,0.6825734980826587,0.027694929697486152,3.288650541346844,0.03877290157648061
12370,8,6,2611,2396,463.97248061533963,2521.5743376797363,0.46517279217969004,0.6823873121869783,0.027545909849749584,3.309615827230945,0.045909849749582635
12371,8,6,2644,2448,567.2752117993099,2748.968318033028,0.4671288238452232,0.678921568627451,0.027369281045751634,3.2821459423172823,0.04493464052287582
12372,8,6,2592,2334,456.3484428719033,2592.154725389718,0.4572680475476654,0.6953727506426736,0.026135389888603255,3.316473293192561,0.04113110539845758
12373,8,6,2614,2337,509.1991468641467,2429.6502646249587,0.46954034574160664,0.6491228070175439,0.030380830124090714,3.227099176436406,0.03893881044073599
12374,8,6,2599,2397,526.4700282389472,2714.360744442842,0.45868308367460164,0.6725073007926575,0.02753441802252816,3.28612406940657,0.0425531914893617
12345,8,8,2856,2600,434.5695325663177,1798.4358973714704,0.5148229279054354,0.6261538461538462,0.035,3.1918681847020163,0.03923076923076923
12346,8,8,2873,2627,323.7155389690685,1336.0452207627065,0.5132313040634237,0.6132470498667681,0.027407689379520365,3.1709095661145175,0.03844689760182718
12347,8,8,2787,2628,379.6296964067768,1525.6467413642072,0.5012530989892569,0.6229071537290716,0.030441400304414,3.2093595169505087,0.04337899543378995
12348,8,8,2819,2622,395.1819882698059,1650.9144995231106,0.5042152707513813,0.6079328756674295,0.028985507246376812,3.179496631786207,0.03508771929824561
12349,8,8,2835,2597,334.6127142926968,1376.6485633500802,0.5088564764242605,0.6087793608009241,0.033885252214093185,3.17347283794729,0.03157489410858683
12350,8,8,2861,2568,373.8781187613114,1501.6024255432367,0.5035064368779254,0.6277258566978193,0.031931464174454825,3.189226598900937,0.033099688473520246
12351,8,8,2759,2579,392.6168888115884,1574.0305969833714,0.49840083708102495,0.6172935246219465,0.02791779759596743,3.1942470198363195,0.037999224505622334
12352,8,8,2881,2659,299.0445859419182,1452.4256186314144,0.5319359180608978,0.6088755171116961,0.027077848815344113,3.1620721712686355,0.04061677322301617
12353,8,8,2822,2601,422.57893732026383,1869.9040861160922,0.5173326628750587,0.6301422529796232,0.029219530949634757,3.194955815468348,0.041138023836985775
12354,8,8,2934,2719,327.2534087205682,1230.9283660170888,0.5217880054478806,0.6061051857300478,0.01986024273630011,3.1723718895162984,0.03604266274365576
12355,8,8,2933,2702,413.12999518033314,1473.1190410335898,0.534304540650313,0.6073279052553664,0.02997779422649889,3.1535579835877416,0.0307179866765359
12356,8,8,2832,2561,302.15862521747283,1359.2894164131187,0.5127565220178449,0.6126513080827801,0.027723545490042953,3.178433369897608,0.033190160093713394
12357,8,8,2806,2559,376.9086378669507,1639.8393046278509,0.5020371740266514,0.6072684642438453,0.029308323563892145,3.1690658418458093,0.03634232121922626
12358,8,8,2911,2668,385.3229242826841,1543.362149215101,0.5294427023315346,0.6334332833583208,0.031859070464767617,3.215698444478718,0.03710644677661169
12359,8,8,2836,2611,338.7380727378058,1478.9092454948495,0.5068045800192218,0.6135580237456913,0.031788586748372274,3.1879542798569998,0.03791650708540789
12360,8,8,2953,2709,355.50113137383045,1467.1039571009399,0.5278148837683382,0.6135105204872646,0.03506829088224437,3.1611606518604134,0.03433001107419712
12361,8,8,2816,2606,324.5989625763102,1392.3460678679758,0.5114084659006186,0.6193399846508059,0.02916346891788181,3.1974124824583665,0.04412893323100537
12362,8,8,2932,2685,344.3634283120421,1436.2061792202585,0.5302208115730097,0.6156424581005586,0.030167597765363128,3.1936592929398553,0.041340782122905026
12363,8,8,2899,2670,375.652649432668,1629.7582433815603,0.5276391646296983,0.6262172284644195,0.030711610486891385,3.2002266562349155,0.03295880149812734
12364,8,8,2887,2656,356.06375326957163,1425.6947760950752,0.5183625045251345,0.6155873493975904,0.035015060240963854,3.179964958604828,0.04254518072289157
12365,8,8,2963,2681,241.1562607342927,1141.417591096499,0.5329333081514127,0.6307348004475942,0.031331592689295036,3.1878095237158073,0.03655352480417755
12366,8,8,2822,2551,434.8250641294273,1820.291638139934,0.5107201757244059,0.6252450019600156,0.029792238337906705,3.1971632959369103,0.03136025088200706
12367,8,8,2870,2680,333.5551920846019,1431.6615233886491,0.5337296476824344,0.6033582089552239,0.03470149253731343,3.1683713557608635,0.03544776119402985
12368,8,8,2895,2642,343.1334078732503,1398.060587880641,0.5268396004667665,0.6249053747161242,0.03141559424678274,3.1961493671549155,0.03709311127933384
12369,8,8,2897,2633,320.19812947416034,1382.1669131599285,0.5067056203998792,0.6160273452335738,0.026585643752373718,3.178626639940119,0.040258260539308775
12370,8,8,2903,2662,305.3227901959801,1333.0126435753505,0.5408406670862277,0.6179564237415477,0.03193087903831705,3.1621570399302183,0.03268219383921863
12371,8,8,2895,2645,358.9068901542996,1394.5554140462586,0.5334512060251858,0.6,0.02948960302457467,3.1357291077304863,0.03251417769376182
12372,8,8,2894,2618,367.777292061636,1538.0382764020458,0.5205743963857211,0.6310160427807486,0.02750190985485103,3.199499984368556,0.04316271963330787
12373,8,8,2813,2551,347.39430705608225,1497.671987806799,0.48717672043903737,0.6119168953351627,0.03018424147393179,3.172351010032497,0.042336338690709525
12374,8,8,2905,2634,404.53698042193656,1714.6200726385666,0.5049481680374956,0.615793470007593,0.026955201214882308,3.1838536654493774,0.02847380410022779
12345,10,4,2339,2269,520.3247409242966,3262.6185872579226,0.35146477650203634,0.7637725870427501,0.01851035698545615,3.482869444504566,0.052886734244160426
12346,10,4,2237,2142,542.2173626808814,3524.548075919405,0.33471310520987146,0.7759103641456583,0.012138188608776844,3.5086198698373936,0.05695611577964519
12347,10,4,2285,2221,491.02665516584875,3492.411158349596,0.3382043352520818,0.7901846015308419,0.01620891490319676,3.534543734769527,0.06843764070238631
12348,10,4,2376,2275,555.6289873183935,3713.1320563960767,0.35873902812937725,0.7613186813186813,0.021538461538461538,3.4638126676403367,0.04879120879120879
12349,10,4,2341,2253,534.4610949278647,3617.1419545241383,0.34781382973169483,0.7572126054150022,0.018197958277851752,3.4493711801556324,0.048823790501553485
12350,10,4,2423,2308,571.9725615743494,3422.824952003962,0.3566869071723797,0.7422010398613518,0.020363951473136917,3.4431681972456727,0.053292894280762566
